Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),Intel Iris Pro GPU (C),Battery (C),Battery Management Unit (C),Battery Proximity (C),Air Flow Proximity (C),AirPort Proximity (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C)
2020-08-02,20:45:34,39,38,34,37,39,34,31,39,30,30,29,33,32,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:36,38,38,34,37,39,35,32,40,30,30,29,33,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:38,39,40,36,38,39,35,32,38,30,30,29,33,32,33,39,32,38,37,28,27,31,31,37,34
2020-08-02,20:45:40,39,37,36,39,39,35,30,38,30,30,29,33,33,33,40,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:42,37,37,31,36,39,35,31,38,30,30,29,33,33,32,40,33,38,37,28,27,31,31,35,34
2020-08-02,20:45:44,40,35,35,37,39,35,31,39,30,30,29,33,33,32,40,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:46,39,39,32,36,39,34,29,40,30,30,29,33,33,32,40,33,38,37,28,27,31,31,35,34
2020-08-02,20:45:48,40,38,36,38,39,35,30,39,30,30,29,32,33,33,40,33,38,37,28,27,31,31,37,34
2020-08-02,20:45:50,37,38,35,37,39,34,30,37,30,30,29,32,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:52,39,39,32,38,38,34,32,38,30,30,29,33,33,32,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:54,38,39,34,37,38,34,30,39,30,30,29,33,33,32,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:56,37,36,35,41,39,34,30,37,30,30,29,32,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:45:58,40,37,34,37,39,34,30,37,30,30,29,33,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:00,39,39,32,35,39,34,31,38,30,30,29,32,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:02,36,39,35,39,39,34,30,39,30,30,29,33,33,32,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:04,36,38,34,36,39,34,31,39,30,30,29,32,33,32,39,33,38,37,28,27,31,31,35,34
2020-08-02,20:46:06,36,38,34,38,39,34,31,37,30,30,29,32,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:08,37,37,35,38,38,34,32,37,30,30,29,33,33,32,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:10,38,38,31,36,38,34,30,38,30,30,29,33,33,33,39,33,38,37,28,27,31,31,35,33
2020-08-02,20:46:12,40,38,34,37,38,34,31,38,30,30,29,33,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:14,38,35,32,38,39,34,30,36,30,30,29,32,33,33,39,33,38,37,28,27,31,31,35,33
2020-08-02,20:46:16,38,36,35,37,39,34,30,37,30,30,29,32,33,33,39,33,38,37,28,27,31,31,36,34
2020-08-02,20:46:18,39,38,33,36,39,34,32,37,30,30,29,33,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:20,39,38,34,35,39,34,30,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:22,40,40,36,37,39,34,33,39,30,30,29,33,33,33,39,33,38,36,28,27,31,31,37,34
2020-08-02,20:46:24,36,37,34,37,39,34,32,38,30,30,29,33,33,32,39,33,38,36,28,27,31,31,35,33
2020-08-02,20:46:26,39,38,33,37,39,34,32,39,30,30,29,32,33,32,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:28,39,38,36,38,39,34,31,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:30,39,40,34,42,39,35,31,39,30,30,29,33,33,33,39,33,38,36,28,26,31,31,37,34
2020-08-02,20:46:32,37,38,32,39,39,34,31,39,30,30,29,33,33,33,39,33,38,36,28,26,31,31,36,34
2020-08-02,20:46:34,37,38,32,39,39,35,31,37,30,30,29,32,33,32,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:36,38,38,34,39,38,34,31,39,30,30,29,33,33,33,40,33,38,36,28,26,31,31,36,34
2020-08-02,20:46:38,39,38,34,34,39,34,31,38,30,30,29,32,33,33,40,33,38,36,28,26,31,31,36,34
2020-08-02,20:46:40,38,39,33,35,39,35,33,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:42,39,37,35,37,39,35,30,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:44,38,36,34,37,39,34,30,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,35,34
2020-08-02,20:46:46,37,37,34,35,39,35,31,39,30,30,29,32,33,33,39,33,38,36,28,26,31,31,35,34
2020-08-02,20:46:48,38,39,34,38,39,34,30,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:46:50,37,36,34,38,39,34,30,39,30,30,29,33,33,33,39,33,38,36,28,27,31,31,35,34
2020-08-02,20:46:52,36,36,32,37,39,34,30,38,30,30,29,32,33,32,39,33,38,36,28,26,31,31,35,33
2020-08-02,20:46:54,37,38,31,37,38,34,30,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,35,33
2020-08-02,20:46:56,37,37,35,38,38,34,29,37,30,30,29,32,33,33,39,33,38,36,28,26,31,31,35,33
2020-08-02,20:46:58,38,35,36,37,38,34,31,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,35,34
2020-08-02,20:47:00,39,38,32,40,38,34,30,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:02,38,38,34,37,39,34,30,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:04,38,37,34,38,38,34,31,38,30,30,29,33,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:06,39,37,34,38,38,34,30,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:08,38,37,31,36,38,34,31,39,30,30,29,32,33,33,39,33,38,36,28,26,31,31,35,33
2020-08-02,20:47:10,39,37,34,35,38,34,33,38,30,30,29,32,33,33,39,33,38,36,28,26,31,31,36,34
2020-08-02,20:47:12,38,38,35,37,39,34,31,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:14,39,37,36,40,39,34,31,37,30,30,29,32,33,33,39,33,38,36,28,27,31,31,37,34
2020-08-02,20:47:16,38,39,32,38,38,34,31,39,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:18,39,38,32,36,39,34,31,38,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:20,39,38,35,38,39,34,30,37,30,30,29,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:22,39,39,31,37,39,34,30,42,30,30,28,32,33,33,39,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:24,39,36,34,38,38,34,30,38,30,30,28,32,33,33,39,33,38,36,28,27,31,31,36,33
2020-08-02,20:47:26,39,38,31,35,39,34,30,37,30,30,28,32,33,33,39,33,38,36,28,26,31,31,35,33
2020-08-02,20:47:28,39,38,31,35,38,34,30,37,30,30,28,32,33,33,39,33,38,36,28,27,31,31,35,33
2020-08-02,20:47:30,38,36,31,36,38,34,29,39,30,30,28,32,33,33,39,33,38,36,28,26,31,31,35,33
2020-08-02,20:47:32,37,37,31,37,38,34,29,38,30,30,28,32,33,33,39,33,38,36,28,27,31,31,35,33
2020-08-02,20:47:34,37,37,33,36,38,34,31,37,30,30,28,32,33,33,39,33,38,36,28,27,31,31,35,33
2020-08-02,20:47:36,37,36,34,37,38,34,30,37,30,30,28,32,33,33,39,33,38,36,28,26,31,31,35,33
2020-08-02,20:47:38,38,36,35,34,38,34,31,37,30,30,28,33,33,33,40,33,38,36,28,27,31,31,35,33
2020-08-02,20:47:40,39,39,34,37,38,34,31,38,30,30,28,32,33,33,40,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:42,38,37,33,42,39,34,31,38,30,30,28,32,33,33,40,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:44,40,36,33,36,39,34,32,37,30,30,28,32,33,33,40,33,38,36,28,27,31,31,36,33
2020-08-02,20:47:46,41,39,34,36,39,34,33,39,30,30,28,32,33,33,40,33,38,36,28,27,31,31,37,34
2020-08-02,20:47:48,40,39,34,36,39,35,31,38,30,30,28,32,33,33,40,33,38,36,28,27,31,31,36,34
2020-08-02,20:47:50,38,39,34,37,39,35,32,38,30,30,28,33,33,33,40,33,38,36,28,27,31,31,36,34
